
a	(thông tục) loại a
a b c	bảng chữ cái
a b c - book	sách vỡ lòng
a font	thấu triệt
a fortiori	huống hồ
a la carte	theo món
a la mode	hợp thời trang
a posteriori	theo phép quy nạp
a priori	theo cách suy diễn
a-bomb	bom nguyên tử
a-going	đang chạy
a-plenty	(từ Mỹ
a-power	năng lượng nguyên tử
a.d.	sau công nguyên
a.m.	(xem) ante_meridiem
aard-wolf	(động vật học) chó sói đất (Nam Phi)
aasvogel	(động vật học) con kên kên (Nam Phi)
aba	áo aba (áo ngoài giống hình cái túi người A-Rập)
abaci	bàn tính
aback	lùi lại
abacus	bàn tính
abaddon	âm ti
abaft	(hàng hải) ở phía sau bánh lái
abalone	(từ Mỹ
abandon	bộm (nhiếp ảnh) (nhiếp ảnh) (từ Mỹ
abandoned	bị bỏ rơi
abandoner	(pháp lý) người rút đơn
abandonment	sự bỏ
abase	làm hạ phẩm giá
abasement	sự làm hạ phẩm giá
abash	làm bối rối
abashment	sự bối rối
abask	(thơ ca) dưới ánh nắng
abatable	có thể làm dịu
abate	làm dịu đi
abatement	sự dịu đi
abatis	(quân sự) đống cây chướng ngại
abatised	(quân sự) có đống cây chướng ngại
abattoir	lò mổ
abb	(nghành dệt) sợi canh
abbacy	chức vị trưởng tu viện; quyền hạn trưởng tu viện
abbatial	(thuộc) trưởng tu viện
abbess	bà trưởng tu viện
abbey	tu viện
abbot	cha trưởng tu viện
abbreviate	tóm tắt
abbreviated	tóm tắt; viết tắt; rút ngắn lại
abbreviation	sự tóm tắt
abbreviator	người tóm tắt
abdicant	người từ bỏ
abdicate	từ bỏ (quyền lợi
abdication	sự thoái vị
abdicator	người từ bỏ
abdomen	bụng
abdominal	(thuộc) bụng; ở bụng
abdominous	phệ bụng
abducent	(giải phẫu) rẽ ra
abduct	bắt cóc
abduction	sự bắt cóc (trẻ em...)
abductor	người bắt cóc
abeam	(hàng hải)
abecedarian	sắp xếp theo thứ tự abc
abed	ở trên giường
abele	(thực vật học) cây bạch dương
abelmosk	(thực vật học) cây vông vàng
aberrance	sự lầm lạc
aberrancy	sự lầm lạc
aberrant	lầm lạc
aberration	sự lầm lạc; phút lầm lạc
abet	xúi bẩy
abetment	sự xúi bẩy
abettal	sự xúi bẩy
abette	kẻ xúi giục
abettor	kẻ xúi giục
abeyance	sự đọng lại
abeyant	tạm thời đình chỉ
abhor	ghê tởm; ghét cay ghét đắng
abhorrence	sự ghê tởm
abhorrent	ghê tởm
abidance	sự tôn trọng
abide	tồn tại; kéo dài
abiding	(văn học) không thay đổi
abietene	(hoá học) Abietin
abigail	thị tỳ
abilitate	(từ hiếm
ability	năng lực
abiogenesis	(sinh vật học) sự phát sinh tự nhiên
abiogenetic	(sinh vật học) phát sinh tự nhiên
abiogenetically	(sinh vật học) phát sinh tự nhiên
abiogenist	người tin thuyết phát sinh tự nhiên
abiogenous	(sinh vật học) phát sinh tự nhiên
abiogeny	(sinh vật học) sự phát sinh tự nhiên
abiological	phi sinh vật học
abiotic	vô sinh
abject	hèn hạ
abjection	sự hèn hạ
abjectness	sự hèn hạ
abjuration	sự tuyên bố bỏ
abjure	tuyên bố bỏ
ablactation	sự cai sữa
ablate	(y học) cắt bỏ
ablation	(y học) sự cắt bỏ (một bộ phận trong cơ thể)
ablative	(ngôn ngữ học) (thuộc) cách công cụ
ablaut	(ngôn ngữ học) Aplau
ablaze	rực cháy
able	có năng lực
able-bodied	khoẻ mạnh; đủ tiêu chuẩn sức khoẻ (làm nghĩa vụ quân sự)
ablen	(động vật học) cá aplet
ablet	(động vật học) cá aplet
ablings	(Ê-cốt) có lẽ
ablins	(Ê-cốt) có lẽ
abloom	đang nở (ra) hoa
abluent	rửa sạch
ablush	thẹn đỏ mặt
ablution	(tôn giáo) lễ rửa tội; lễ tắm gội; lễ rửa sạch các đồ thờ
ably	có khả năng
abnegate	nhịn (cái gì)
abnegation	sự bỏ (đạo...); sự từ bỏ (quyền lợi); sự từ chối không nhận (đặc quyền...)
abnormal	không bình thường
abnormalcy	sự không bình thường
abnormality	sự không bình thường
abnormity	sự không bình thường
aboard	trên tàu
abode	nơi ở
aboil	đang sôi
abolish	thủ tiêu
abolishable	có thể thủ tiêu
abolisher	người thủ tiêu
abolishment	sự thủ tiêu
abolition	sự thủ tiêu
abolitionise	(từ Mỹ
abolitionism	(sử học) chủ nghĩa bãi nô
abolitionist	người theo chủ nghĩa bãi nô
abolitionize	(từ Mỹ
abominable	ghê tởm
abominableness	sự ghê tởm
abominate	ghê tởm; ghét cay ghét đắng
abomination	sự ghê tởm
aboriginal	(thuộc) thổ dân; (thuộc) thổ sản
aborigines	thổ dân
abort	sẩy thai; đẻ non ((nghĩa đen) & (nghĩa bóng))
aborted	bị sẩy (thai)
aborticide	thuốc giết thai
abortifacient	phá thai
abortion	sự sẩy thai
abortionist	người phá thai
abortive	đẻ non
abortiveness	sự đẻ non
aboulia	(y học) chứng mất ý chí
abound	(+ in
abounding	nhiều
about	xung quanh
about-face	(quân sự) sự quay đằng sau
about-sledge	(kỹ thuật) búa tạ
above	trên đầu
above-board	thẳng thắn
above-ground	ở trên mặt đất
above-mentioned	kể trên
abracadabra	câu thần chú
abradant	làm mòn
abrade	làm trầy (da); cọ xơ ra
abranchial	(động vật học) không mang
abranchiate	(động vật học) không mang
abrasion	sự làm trầy (da); sự cọ xơ ra; chỗ bị trầy da
abrasive	làm trầy (da)
abreast	cùng hàng
abridge	rút ngắn lại
abridgement	sự rút ngắn
abridgment	sự rút ngắn
abroach	bị giùi lỗ; bị chọc thủng (thùng rượu để lấy rượu ra...)
abroad	ở nước ngoài
abrogate	bãi bỏ
abrogation	sự bãi bỏ
abrupt	bất ngờ
abruption	sự đứt rời
abruptness	sự bất ngờ
abscess	(y học) áp xe
absciss	(toán học) độ hoành
abscissa	(như) absciss
abscissae	(như) absciss
abscisse	(như) absciss
abscission	(y học) sự cắt bỏ
abscond	lẫn trốn
absconder	người lẫn trốn
absence	sự vắng mặt
absent	vắng mặt
absent-minded	lơ đãng
absent-mindedness	sự lơ đãng
absentee	người vắng mặt
absenteeism	sự hay vắng mặt
absently	lơ đãng
absinth	cây apxin
absinthe	cây apxin
absinthian	(thuộc) apxin
absolute	tuyệt đối
absolutely	tuyệt đối
absoluteness	tính tuyệt đối
absolution	(pháp lý) sự tha tội
absolutism	(chính trị) sự chuyên chế
absolutist	(chính trị) người theo chính thể chuyên chế
absolve	tha tội
absonant	không hợp điệu
absorb	hút
absorbability	khả năng hút thu
absorbable	có thể nuốt được; có thể bị hút
absorbed	miệt mài
absorbedly	miệt mài
absorbefacient	(y học) làm tiêu đi
absorbent	hút nước
absorber	(kỹ thuật) thiết bị hút thu
absorbing	hấp dẫn
absorption	sự hút
absorptive	hút thu
absorptivity	khả năng hút thu
abstain	kiêng
abstainer	người kiêng rượu
abstaining	sự kiêng khem
abstemious	tiết chế
abstention	(+ from) sự kiêng
absterge	tẩy
abstergent	tẩy
abstersion	sự tẩy sạch
abstersive	tẩy
abstinence	sự kiêng
abstinency	thói quen ăn uống điều độ
abstinent	ăn uống điều độ; kiêng khem
abstract	trừu tượng
abstracted	lơ đãng
abstractedly	trừu tượng; lý thuyết
abstractedness	sự lơ đãng
abstraction	sự trừu tượng
abstractionism	(nghệ thuật) chủ nghĩa trừu tượng
abstractionist	(nghệ thuật) người theo chủ nghĩa trừu tượng
abstractness	tính trừu tượng
abstruse	khó hiểu
abstruseness	tính khó hiểu
absurd	vô lý
absurdity	sự vô lý; sự ngu xuẩn
abulia	(y học) chứng mất ý chí
abundance	sự nhiều
abundant	phong phú
abuse	sự lạm dụng
abuser	người lạm dụng
abusive	lạm dụng
abusiveness	sự lạm dụng
abut	(+ on
abutilon	(thực vật học) giống cây cối xay
abutment	giới hạn
abuttal	giới hạn
abutter	(pháp lý) chủ nhà đất láng giềng (ở ngay cạnh nhà đất của ai)
abysm	(thơ ca) (như) abyss
abysmal	không đáy
abyss	vực sâu
abyssal	sâu thăm thảm
acacia	(thực vật học) giống cây keo
academe	(thơ ca) học viện; trường đại học
academic	(thuộc) học viện; (thuộc) trường đại học
academical	(thuộc) học viện; (thuộc) trường đại học
academicals	mũ áo đại học (của giáo sư và học sinh đại học ở Anh)
academician	viện sĩ
academy	học viện
acaleph	loài sứa
acanthi	cây ô rô
acanthus	cây ô rô
acari	(động vật học) cái ghẻ
acarpellous	(thực vật học) không lá noãn
acarpous	(thực vật học) không sinh quả
acarus	(động vật học) cái ghẻ
acaulesent	(thực vật học) không thân (cây)
acauline	(thực vật học) không thân (cây)
acaulose	(thực vật học) không thân (cây)
acaulous	(thực vật học) không thân (cây)
accede	đồng ý
accelerate	làm nhanh thêm; làm chóng đến; thúc mau
accelerating	làm nhanh thêm
acceleration	sự làm nhanh thêm
accelerative	làm nhanh thên
accelerator	người làm tăng tốc độ
accent	trọng âm
accentor	(động vật học) chim chích
accentual	(thuộc) trọng âm; dựa vào trọng âm
accentuate	nhấn trọng âm
accentuation	sự nhấn trọng âm
accept	nhận
acceptability	tính chất có thể chấp nhận
acceptable	có thể nhận
acceptance	sự nhận
acceptation	ý nghĩa đặc biệt (của một từ
accepted	đã được thừa nhận
acceptor	(thương nghiệp) người nhận thanh toán (hoá đơn...)
access	lối vào
accessary	đồ phụ tùng; vật phụ thuộc; đồ thêm vào
accessibility	tính có thể tới được
accessible	có thể tới được
accession	sự đến gần
accessory	đồ phụ tùng; vật phụ thuộc; đồ thêm vào
accidence	(ngôn ngữ học) hình thái học
accident	sự rủi ro
accidental	tình cờ
accidentally	tình cờ
accipitral	(thuộc) chim ưng; như chim ưng
acclaim	tiếng hoan hô
acclamation	sự hoan hô nhiệt liệt
acclamatory	hoan hô bằng cách nhiệt liệt hoan hô
acclimatation	sự thích nghi khí hậu
acclimate	làm thích nghi khí hậu
acclimation	sự thích nghi khí hậu
acclimatise	làm thích nghi khí hậu
acclimatization	sự thích nghi khí hậu
acclimatize	làm thích nghi khí hậu
acclivity	dốc ngược
acclivous	dốc ngược
accolade	sự ôm hôn
accommodate	điều tiết
accommodating	dễ dãi
accommodation	sự điều tiết
accommodation train	(từ Mỹ
accommodation unit	nơi ở
accommodation-ladder	
accompaniment	vật phụ thuộc
accompanist	(âm nhạc) người đệm (nhạc
accompany	đi theo
accomplice	kẻ tòng phạm
accomplish	hoàn thành
accomplished	đã hoàn thành
accomplishment	sự hoàn thành
accord	sự đồng lòng
accordance	sự đồng ý
accordant	((thường) + with) thích hợp
according	(+ to) theo
accordingly	do đó
accordion	(âm nhạc) đàn xếp
accordionist	người chơi đàn xếp
accost	đến gần
accouchement	sự đẻ
accoucheur	người đỡ đẻ
accoucheuse	nữ hộ sinh
account	sự tính toán
accountability	trách nhiệm
accountable	chịu trách nhiệm
accountancy	nghề kế toán
accountant	nhân viên kế toán
accountantship	chức kế toán
accounting	sự thanh toán
accoutre	mặc cho (bộ đồ đặc biệt...); trang bị cho
accoutrement	bộ áo quần đặc biệt; quần áo
accredit	làm cho người ta tin (ý kiến
accredited	được chính thức công nhận (người); được mọi người thừa nhận (tin tức
accrescent	(thực vật học) cùng phát triển
accrete	cùng phát triển
accretion	sự lớn dần lên
accretive	lớn dần lên
accrual	sự dồn lại
accrue	(+ to) đổ dồn về (ai...)
accruement	sự dồn lại
accumulate	chất đống
accumulation	sự chất đống
accumulative	chất đống
accumulator	người tích luỹ
accuracy	sự đúng đắn
accurate	đúng đắn
accurateness	sự đúng đắn
accursal	sự kết tội
accursed	đáng nguyền rủa
accurst	đáng nguyền rủa
accusation	sự kết tội
accusative	(ngôn ngữ học) (thuộc) đổi cách
accusatorial	buộc tội
accusatory	buộc tội
accuse	buộc tội
accuser	uỷ viên công tố
accustom	làm cho quen
accustomed	quen với; thành thói quen
ace	(đánh bài) quân át
acephalous	không có đầu
acerbate	làm tăng
acerbity	vị chát
acerose	(thực vật học) hình kim (lá thông
acerous	(thực vật học) hình kim (lá thông
acervate	(thực vật học) mọc thành chùm
acescent	hoá chua; chua
acetate	(hoá học) Axetat
acetic	(hoá học) axetic; (thuộc) giấm
acetification	sự hoá giấm; sự làm thành giấm
acetify	làm thành giấm
acetone	axeton
acetous	chua
acetylene	(hoá học) Axetylen
ache	sự đau
achene	(thực vật học) quả bế
achievable	có thể đạt được
achieve	đạt được
achievement	thành tích
achilles	A-sin (anh hùng cổ Hy lạp)
aching	sự đau đớn (vật chất
achlamydeous	(thực vật học) không bao hoa
achromatic	(vật lý) tiêu sắc
achromatism	(vật lý) tính tiêu sắc
achromatize	(vật lý) làm tiêu sắc
achromatous	không màu
achromous	(vật lý) làm tiêu sắc
acicular	hình kim; kết tinh thành hình kim
acid	(hoá học) Axit
acid-proof	esisting) 
acid-resisting	esisting) 
acidic	có tính chất axit
acidification	(hoá học) sự axit hoá
acidifier	(hoá học) chất axit hoá
acidify	Axit hoá
acidimeter	cái đo axit
acidity	tính axit; độ axit
acidly	chua chát
acidose	(y học) sự nhiễm axit
acidulate	làm cho hơi chua
acidulated	hơi chua
acidulous	hơi chua
